,age,education-num,capital-gain,capital-loss,hours-per-week,workclass_ Federal-gov,workclass_ Local-gov,workclass_ Private,workclass_ Self-emp-inc,workclass_ Self-emp-not-inc,workclass_ State-gov,workclass_ Without-pay,education_level_ 10th,education_level_ 11th,education_level_ 12th,education_level_ 1st-4th,education_level_ 5th-6th,education_level_ 7th-8th,education_level_ 9th,education_level_ Assoc-acdm,education_level_ Assoc-voc,education_level_ Bachelors,education_level_ Doctorate,education_level_ HS-grad,education_level_ Masters,education_level_ Preschool,education_level_ Prof-school,education_level_ Some-college,marital-status_ Divorced,marital-status_ Married-AF-spouse,marital-status_ Married-civ-spouse,marital-status_ Married-spouse-absent,marital-status_ Never-married,marital-status_ Separated,marital-status_ Widowed,occupation_ Adm-clerical,occupation_ Armed-Forces,occupation_ Craft-repair,occupation_ Exec-managerial,occupation_ Farming-fishing,occupation_ Handlers-cleaners,occupation_ Machine-op-inspct,occupation_ Other-service,occupation_ Priv-house-serv,occupation_ Prof-specialty,occupation_ Protective-serv,occupation_ Sales,occupation_ Tech-support,occupation_ Transport-moving,relationship_ Husband,relationship_ Not-in-family,relationship_ Other-relative,relationship_ Own-child,relationship_ Unmarried,relationship_ Wife,race_ Amer-Indian-Eskimo,race_ Asian-Pac-Islander,race_ Black,race_ Other,race_ White,sex_ Female,sex_ Male,native-country_ Cambodia,native-country_ Canada,native-country_ China,native-country_ Columbia,native-country_ Cuba,native-country_ Dominican-Republic,native-country_ Ecuador,native-country_ El-Salvador,native-country_ England,native-country_ France,native-country_ Germany,native-country_ Greece,native-country_ Guatemala,native-country_ Haiti,native-country_ Holand-Netherlands,native-country_ Honduras,native-country_ Hong,native-country_ Hungary,native-country_ India,native-country_ Iran,native-country_ Ireland,native-country_ Italy,native-country_ Jamaica,native-country_ Japan,native-country_ Laos,native-country_ Mexico,native-country_ Nicaragua,native-country_ Outlying-US(Guam-USVI-etc),native-country_ Peru,native-country_ Philippines,native-country_ Poland,native-country_ Portugal,native-country_ Puerto-Rico,native-country_ Scotland,native-country_ South,native-country_ Taiwan,native-country_ Thailand,native-country_ Trinadad&Tobago,native-country_ United-States,native-country_ Vietnam,native-country_ Yugoslavia,income
age,1.0,0.037622951799601255,0.12206789303450774,0.05533098777259653,0.1019922447815543,0.0548230162286164,0.06369426052307368,-0.20976323364804092,0.10669835918224095,0.15617406473220302,0.01576048268948003,0.014248846343494319,-0.005168457745866015,-0.09246871168714907,-0.05122036194316005,0.034979766816122505,0.029748018933339965,0.10512032147929032,0.016511038599959012,-0.012562613041855443,-0.003241330736162578,0.0032358578834019813,0.0710970863367628,0.012517778412860586,0.09498736875555065,0.007701909137887851,0.06248359364269075,-0.09632589824528573,0.13613145036176497,-0.01563627064317582,0.30657659067807685,0.015975311067936555,-0.5268620729032745,0.014749906486302018,0.25581918370007467,-0.03783372227960776,-0.009003045259804596,0.012382952812872569,0.1081039128310251,0.038665284008355796,-0.09792296392289035,-0.01699490117068034,-0.09102634792826231,0.02702097911306009,0.05848229230346098,0.00365197120901747,-0.03099367281190536,-0.01840960565634101,0.03821305360525923,0.305058209519271,-0.022629604050080535,-0.06699221410600611,-0.41808952801845667,0.04548106838701534,0.023678684820969253,-0.016238099704150133,-0.0057002638701990375,-0.013410961102028548,-0.031602713880038054,0.026604206822883083,-0.0820533475221055,0.0820533475221055,-0.0011338764529206413,0.01956058852861849,0.011027510129579648,0.002086868163947774,0.030156928287985347,-0.0031876648464920516,-0.0025273623338038435,-0.020295990767079837,0.010084105191263026,0.005414243038262544,0.0023160765032774282,0.01816174332533498,-0.022430390143688056,0.0005654417086711633,-0.0023295820580548215,-0.004850080017376571,-0.0082953774189666,0.01611497987371779,-0.00016304355244397124,0.0008712790392981084,-0.001526020801658054,0.02444013377602195,-0.004823381838178509,-0.002822343370151764,-0.003067828914957136,-0.052713937503846404,-0.006591876763054438,0.001285617633445228,-0.00401448217075124,0.007551029929418577,0.011181836307929564,0.005607754493703868,0.004745435342779606,0.011859210010472956,0.000235956870458368,-0.007638742829805082,-0.0006536090494157669,0.0028442767125662453,0.012082377234784347,-0.01440260980852523,0.0032943674947165076,0.2370402351236347
education-num,0.037622951799601255,1.0,0.12934707498788262,0.07896743676148209,0.14620623766526222,0.054970294119669035,0.09652429391062937,-0.16486903743657758,0.08117389346944277,0.010568407765212388,0.10237990875249162,-0.009845501232253084,-0.2689681648304022,-0.23538545327637928,-0.09434002071518931,-0.22336652377803515,-0.2792385164972961,-0.32630944831528264,-0.2469917836643338,0.13684502973864593,0.07348100754906482,0.5061191368145661,0.25422475499416425,-0.30532387721197946,0.36889798124814555,-0.14263728632550832,0.2541519866690103,-0.024564784004570364,-0.003526437469431473,0.0039771140399170865,0.07562332942939876,-0.036081392798584376,-0.027313442558023645,-0.052668935159773625,-0.06469783029123276,-0.0023584214172602544,0.0036148547437793773,-0.15496025673802089,0.2017016328067817,-0.11413295824826342,-0.13675880072488406,-0.16819060478953501,-0.18154986769535533,-0.07426189988732285,0.4251019176709203,0.000618920847042181,0.031163467133091302,0.05864817775703356,-0.12725362268137144,0.06755829076708435,0.06049792398277575,-0.0882813987501053,-0.09538145384660104,-0.06022439680400406,0.03581560115171795,-0.026937381288871617,0.06253391499294754,-0.07387489513618023,-0.04771895750784003,0.05155529304502523,-0.0034172718466893947,0.0034172718466893947,-0.0068946941909353325,0.014698472202134735,0.023355741227169224,-0.013583186825572701,-0.013077610063336667,-0.05158061854353327,-0.010987005637217466,-0.07691208929249752,0.023316991768899197,0.021724913121928473,0.02367031529254834,-0.004687782982726627,-0.06366018509587841,-0.02555993985706711,-0.00021821067732347477,-0.014477172087432875,0.004068305759103694,0.009930528534198521,0.054264075228943255,0.029893189698210285,-0.001924029272179989,-0.025973146039416223,-0.00712323472727774,0.021784102003297116,-0.010247560917875395,-0.22761833162013825,-0.01454742458489521,0.0005475436434458429,-0.0028381743795396664,0.020592757836098863,0.0004926217918492772,-0.04713474975376863,-0.043630730646730814,0.001083847225521852,0.016337572550494676,0.046098873905451344,0.0073787399342249696,-0.010146915065788416,0.1322418020575144,-0.010287218147709748,-0.0064254139445228614,0.33279987917600934
capital-gain,0.12206789303450774,0.12934707498788262,1.0,-0.06689866206633037,0.08609758107491607,0.013721427003469002,0.003845504957475886,-0.049817253948065764,0.07512681809441865,0.02059674264851898,-0.005886553539593256,0.000260803572382394,-0.029779147488605166,-0.028849011336933208,-0.01870687129987491,-0.013824415260486106,-0.014428910747881054,-0.010485688908716068,-0.015315079639087544,-0.0062246443074431765,0.009049514553901943,0.05806795163011856,0.05426115796762534,-0.052199730683139135,0.06607987623999864,-0.004122295548412832,0.10488445423465965,-0.0352146218639855,-0.02603689360880808,-0.0011112039473933713,0.1270634608439131,-0.011136499076352481,-0.10463793990129479,-0.01876480192631973,-0.005606350298754425,-0.033565515073264204,-0.0007517604527325549,-0.01083056738372238,0.0748618500222213,-0.010427634607225405,-0.03343428404468165,-0.02378785141944718,-0.06409486635464388,-0.011788430445052747,0.07982372631197325,-0.005319217785057042,0.004504680400888142,0.001292526846932196,-0.015336409033647165,0.11581540015209477,-0.03641618138618201,-0.031624513751523115,-0.08393789536904363,-0.040831084877722905,0.03121391716891146,-0.006289410382812572,0.0003506863107234414,-0.028509937842504364,-0.008547280881917798,0.02771006235695888,-0.06894652228674464,0.06894652228674464,0.0022300983689043756,0.0008834713589870464,-0.0004822739854846468,-0.0076324574645179714,-0.004653646634127842,-0.008518903140110041,-0.002025736025033171,-0.005100464336604668,0.0065517215481458845,-0.0004204504257183338,0.01009123432422506,0.006930786427746811,-0.007904797354650862,-0.007487916385348204,-0.0014122965850048416,-0.002955857055762552,-0.004009149036663095,0.004709406825444235,0.007585534335446605,0.0018408248533773853,-0.00028928046945157353,0.00260131438266654,-0.006381569089277221,0.00485929181018517,-0.0031577716219949423,-0.023231527666570318,-0.005318162440496818,-0.006625796802170052,-0.0073422142763946785,-0.0020711014425722233,-0.0039897994609982565,-0.005010964888426742,-0.008527280441758024,-0.006317309612877189,-0.005112920191537629,0.003316264970276049,-0.0044574879330743,-0.0041920439512385475,0.018919302893758493,0.0029134183579376566,0.006782256956061772,0.28773957900027536
capital-loss,0.05533098777259653,0.07896743676148209,-0.06689866206633037,1.0,0.05158661868391019,0.010272432447999837,0.011064065732764798,-0.031217844003804094,0.03262060528922034,0.013372244570048594,-0.0031783218445338456,5.017034644281266e-05,-0.012254313773792679,-0.017318194422466196,-0.01612087924648653,-0.006632528959165619,-0.006332769818421407,-0.010870831679332258,-0.01480131046420188,0.00310086657638645,-0.009239329318073121,0.04023920030945407,0.03714259139456433,-0.032067252778348196,0.04458907550210416,-0.00372654425148845,0.04398837603275091,-0.017323267515318944,-0.01599891920313679,-0.0021217086814763132,0.07333353054801793,-0.0078088090225666065,-0.057084763135664796,-0.014737255835516317,-0.00528127596623451,-0.02294646646837897,0.002021403866487041,-0.007750164890069675,0.04802214438232721,-0.013930124800041117,-0.02155517592008578,-0.01674328861005905,-0.041067058930469275,-0.008686263267528867,0.04442297593862476,-0.0008139205106142006,0.009078753780366171,0.005973071881077216,-0.0032355838670533954,0.0688757065558252,-0.016476952266034524,-0.016300908917225715,-0.0489821653873263,-0.031448201539671525,0.014653089287146096,-0.01134114271229931,0.0020601913676041635,-0.021529519997310034,-0.005777417670322909,0.021743034231214504,-0.04329170125240744,0.04329170125240744,0.003401518674858873,0.007652509414054548,0.011864806698041491,-0.0021486235814511265,-0.0025713900651612017,-0.005775903544471005,-0.0068720666527432245,-0.009039367124219534,0.002909559441027817,-0.0027251947852443242,-0.0034489722150268082,0.0055572729723075975,-0.007377755178274967,-0.0008166612215962744,0.0216384103298704,0.00529740507401865,0.0112586193579454,0.0007093707244843082,0.0038336840954986246,0.003994056399597757,0.0010651509733807716,-0.0038371258535769867,-0.008450320765018017,-0.002853011001911232,-1.962308589947013e-06,-0.019833543013715416,-0.0009259050787925721,-0.004914321502480937,-0.003724342598977852,0.0005849768379102877,-0.004454991556027557,-0.00825354114044874,0.0013234115690386177,-0.004685518043383514,0.0027667420104405416,0.0013433615699540093,-0.0016449532566383466,0.0035020446629145893,0.012821242740437682,0.0001745669136241585,-0.005024825068664659,0.13925338078103278
hours-per-week,0.1019922447815543,0.14620623766526222,0.08609758107491607,0.05158661868391019,1.0,0.007386600618889383,-0.0016387550569030005,-0.0945586968501535,0.12366781181649013,0.08801225891956216,-0.03207526724741451,-0.012539882966615188,-0.04764012631203603,-0.10577958183933776,-0.05070714990067848,-0.010256196910325761,-0.01750047036049069,-0.012771428143393116,-0.019928371666941284,0.009043932150039609,0.01896512393963781,0.07072527658011243,0.05837729857126219,0.009447230773902679,0.06136401566051971,-0.013789714109854986,0.07735231987006495,-0.06444346096341019,0.014885595250050798,0.0036001527395037583,0.22407569523788876,-0.0076442473696849015,-0.2123976422571312,-0.014432669460476742,-0.08672484211430173,-0.10045690912724702,0.0011376807819556487,0.04332197004834118,0.13120677663257918,0.09031788358368127,-0.05581643403793317,-0.004251849395759775,-0.18007225200762805,-0.0480920278552494,0.04372349796427772,0.02317308694100213,-0.006491782991337902,-0.01763490294785808,0.0736834895498234,0.2564351771350697,0.004996956473940614,-0.052778393422593085,-0.2628448879272376,-0.042857629649887916,-0.06345155557507116,-0.0020007377011834874,-0.008182390925722292,-0.054219123739800645,-0.008875239400753692,0.05229043965210703,-0.23142463221117707,0.23142463221117707,0.0025054562235184456,0.0032605885817679186,-0.007598706724635383,-0.0020742319410232976,-0.0012160255914765079,0.0032248441050747954,-0.0016332930210947504,-0.02076753531328462,0.00849726325342281,0.006348998316624515,0.0013832249406618058,0.016347544812188308,-0.008186575560078754,-0.010791808039216233,-0.00036736052610835285,-0.007352978120698877,-0.0013521960074566542,-0.005159612312405791,0.00463020220726702,0.008298546397431637,0.003671787529439285,0.0015368273742652095,-0.006977649638112311,0.005464998350749817,-0.0011709454142747806,-0.005121478096831488,-0.011030034782830222,0.000865532102145681,-0.010584514455769115,-0.007880753120228746,-0.00818717357259885,0.004322287769326269,-0.01071250708772131,0.0014224436618113883,0.01542002411378357,0.00023297376309052673,0.010315396571291387,-0.004178513708251872,0.010227565204991242,-0.008039750184043525,-0.0013538205246136324,0.22719914201801614
workclass_ Federal-gov,0.0548230162286164,0.054970294119669035,0.013721427003469002,0.010272432447999837,0.007386600618889383,1.0,-0.04859623811751246,-0.29950014126146635,-0.03481509068021097,-0.05422541667081787,-0.03798605198821325,-0.003861107757305857,-0.01808397260492265,-0.02491732276925504,-0.011283213993934471,-0.010759028969153416,-0.016653697844435125,-0.02057621601796154,-0.01576748221901392,0.024238502311834866,-0.0005678835597602339,0.023766304936831812,0.0036070769895755867,-0.018365978992663835,0.014922397138509024,-0.007153419055724809,0.009358610464508494,0.01609284431264251,0.014433197689356268,0.009606774365232282,0.013378213029825399,-0.0025088365988477804,-0.025578644605930394,-0.004301162916628218,0.006381116554362243,0.12192154403212092,0.09823812714910417,-0.03569276596893941,0.029685859278530718,-0.026505477902389513,-0.01753960001630955,-0.03772093713559387,-0.03946676232101664,-0.012863593046263224,0.019595956988480566,0.013725726035737261,-0.0593451512426812,0.036418394099630796,-0.0208112503538254,0.016472560513313566,0.007613811815578384,-0.008194577336186792,-0.03891395153097619,0.013721144658439167,-0.0024336944666901003,0.025421797038729585,0.01331959618771115,0.053630982561397714,-0.0014117224491226944,-0.05825748915210923,-0.0032325527169120255,0.0032325527169120255,0.0010185280325682856,-0.0022701973078542415,-0.003861820464708252,-0.0016454879660646618,-0.002670656539600384,-0.008305266182041016,-0.005526398744221877,-0.005753241036038698,0.000746487646431888,-0.0005388262169327994,0.003907698664643224,-0.0058997671255590295,-0.004894875741420228,-0.00047422942178955755,-0.0008423764470369564,-0.003672564801111128,-0.004458768470445817,-0.0035745725484984205,-0.0012766831783384686,0.0009379374157259481,-0.005056215757547362,-0.005720645242897084,-0.005886193395699892,0.0006695140908086334,0.0020525620591571015,-0.021926651516601444,-0.0019264967823177585,-0.003952013499337183,-0.0016127056486464827,0.016481181391385772,0.0014511782272626612,-0.0031941119197589,0.009355445766719728,-0.00376801366159915,-0.003077306011610215,-0.006250964296026136,-0.004537741056792726,0.0010185280325694325,0.01636720666726454,-0.0017281102399556653,-0.004040878581747059,0.05917389624047391
workclass_ Local-gov,0.06369426052307368,0.09652429391062937,0.003845504957475886,0.011064065732764798,-0.0016387550569030005,-0.04859623811751246,1.0,-0.4535728913296282,-0.05272512151483733,-0.08212075934032836,-0.05752732989690299,-0.005847388925556495,-0.017715362735047167,-0.023542917480063145,-0.011347892854637338,-0.012794063067417127,-0.016575314948392268,-0.011402682072220937,-0.011062923778589983,0.011552674500281319,-0.004853609528109194,0.04033485951873248,-0.0026422446286950025,-0.04857737472768199,0.1316353403142432,-0.002053681494084952,-0.009254934576883507,-0.01938237055904649,0.023087464827669907,-0.007219052056456762,0.013274552262599165,-0.004654242091997974,-0.03943736732106343,-0.00036494254605569344,0.027713969346441738,0.009669860704701931,-0.004774003419159591,-0.05272631152524158,-0.02097301764290442,-0.028751217681563017,-0.03210755778658395,-0.06415313385247015,-0.009820629677596157,-0.019481049545774596,0.1629848444977527,0.23010354523498291,-0.09566797178867521,-0.01974148130134559,-0.001097072146278896,-0.0008118632813939593,-0.004631828301287468,-0.016191018422787997,-0.030987088088203423,0.03008599459460096,0.03277926499859538,0.031542427803585064,-0.016385492845214004,0.0412323781821909,-0.012129885850796728,-0.032516910756395255,0.04421700027542341,-0.04421700027542341,-0.006506733643357221,-0.0017140007144101645,-0.008319406764955755,-0.007448591876970118,-0.0018055156842506877,-0.005011531961114111,-0.005530056531132072,-0.007805326853500277,-0.0036854953563367453,0.00475411285974845,0.002375705879116042,-0.006274830795537709,-0.0038071109203384836,-0.0016366983591591586,-0.0012757226726544482,-0.001291596414543806,-0.0032345126187441273,-0.005413450555514883,-0.010880134039952733,-0.0045757092759461816,-0.007657299895342035,-0.0034560553160813178,-0.00011147227098758231,-0.008097732855647459,-0.0017854746092487873,-0.025586598185359785,-0.0007805429054808892,-0.0020164911878870827,-0.00578642157230168,-0.0037728471978910813,-0.005282874685064741,-0.0053217182336860415,0.0014146031110895264,-0.005706404156819324,-0.012835053516184414,-0.004444946932984912,-0.0034152602247759455,0.0007946933745066886,0.03429817972129841,-0.003454706962252403,-0.0022382603992445946,0.029730577814505433
workclass_ Private,-0.20976323364804092,-0.16486903743657758,-0.049817253948065764,-0.031217844003804094,-0.0945586968501535,-0.29950014126146635,-0.4535728913296282,1.0,-0.32494657927126575,-0.5061128181050316,-0.35454274030126354,-0.03603764153472724,0.033803085800453214,0.05716222367851434,0.029978438876036174,0.024772620345145855,0.031036699595673366,0.0010673991820594362,0.0248663434987846,-0.012288830725945384,0.0074352306851279,-0.05572987961784617,-0.06891561058573518,0.0685950637221072,-0.11361717788731894,0.011294116908228876,-0.08923465101927762,0.016044925304951267,0.0032073926528846768,0.0008141655960576624,-0.13117394948298988,0.008886892673397498,0.1351978253332337,0.018988493661750868,-0.019254081667737444,0.01081945213135767,-0.029422332958446477,0.03666693767608929,-0.0701239288373653,-0.12048589498983193,0.09469588475087971,0.13142042687187666,0.06673611306712429,0.04295020694173096,-0.16490500723346646,-0.14675878514381477,0.06047166562297768,0.024793744519296355,0.032613320342318376,-0.1256060950941962,0.03888061378712613,0.047044101707369765,0.10388035925632277,0.014280834761708404,-0.02057324962677638,-0.021799572378512006,-0.0014068415398537496,0.005687494884691696,0.021679348415285668,-0.003462815448935611,0.06482253747334615,-0.06482253747334615,0.005969091001209731,-0.0059078581065015335,0.0017826867313409742,0.008973409191571316,-0.0027415025998278994,0.017965182737687917,0.008680068490118943,0.023573706086955266,0.002306441526856914,-0.002696095491676671,-0.003964718957816045,-0.01081727828345133,0.016890077760654786,0.006661854039445041,0.0028126078454854308,-0.0024345881186824975,0.006815470630132726,-0.005680913954367002,-0.005528263907377367,-0.007486866241994366,0.009762808077160023,-0.0017656501716110733,0.011728778600693957,0.00390709339032772,0.008231888943191901,0.05415575710704866,0.007163698845893471,0.006366072416146365,0.012508337305964807,0.01245355968692249,0.007528588380785307,0.00588186016658279,0.010598410077625676,0.0054185445702584515,-0.01742730180908502,-0.005053483004000691,-0.0026950348634481786,-0.0003132219168979635,-0.04766264700365715,0.008055502368863791,0.00013356930944968085,-0.11672111780034912
workclass_ Self-emp-inc,0.10669835918224095,0.08117389346944277,0.07512681809441865,0.03262060528922034,0.12366781181649013,-0.03481509068021097,-0.05272512151483733,-0.32494657927126575,1.0,-0.05883257210670362,-0.04121346187554259,-0.004189159152479589,-0.012749320727567575,-0.023468950241500447,-0.009470321338251684,-0.01196152145150365,-0.011126455841714978,-0.012327562146685355,-0.012265434441709201,0.002070900394260703,-0.008296523851518064,0.040314561981152325,0.03595793357669914,-0.031231887186221097,0.009530720025013638,-0.007761195178273157,0.08898565460804313,-0.009510603150944175,-0.02939916562069843,-0.0051718396671566625,0.10856502988580294,-0.014077757217553983,-0.08190973853751962,-0.017900556699378654,-0.005332031146164307,-0.0567731178794699,-0.003420169304949787,-0.021243328849163842,0.1331817686911106,0.01866855371623049,-0.03889933714229779,-0.04485505181772674,-0.05094753571194176,-0.013956522824714749,0.008112328267254946,-0.024802761266310657,0.07647540832576571,-0.028900144964156483,-0.025335417136130096,0.11430099231996704,-0.04824106314184564,-0.025751015727921017,-0.04947524503728574,-0.037713968056957786,-0.007932777575629385,-0.016734545628700963,0.006051346954068299,-0.047004091310398344,-0.0105303090510553,0.04393252828971547,-0.08467550192587192,0.08467550192587192,-0.0046615238257363256,0.013924105031368867,0.00209780394862162,-0.008283566882237636,0.01561006431722737,-0.00390648332981435,-0.0059959382992586805,-0.009024591142955979,-0.005373403011810494,0.0028873253881085362,0.0017662634862150772,0.029488987665460244,-0.00848357542775686,-0.0015472809750350855,-0.0009139472982222609,0.007538805571987917,-9.089916402027822e-05,0.0020412408342167557,0.009644670552690289,-0.0001285906709989742,-0.001299240877794317,0.0059328296746306635,-0.006809105859420193,0.002026291795530007,-0.004189159152477813,-0.02014562864802253,-0.006335305748484819,-0.004287788521349217,-0.006133929740853196,-0.012428555953645844,-0.005440376204014117,0.005563052684065983,-0.01021193884245113,-0.004088155500783435,0.02082004871296345,0.020320424597951758,0.01373349380778694,0.005190024470706477,0.005467959499834607,-0.005575368530725389,0.0008527993330671177,0.13784495045409736
workclass_ Self-emp-not-inc,0.15617406473220302,0.010568407765212388,0.02059674264851898,0.013372244570048594,0.08801225891956216,-0.05422541667081787,-0.08212075934032836,-0.5061128181050316,-0.05883257210670362,1.0,-0.06419104758833682,-0.006524725229928627,-0.0008162528962528357,-0.014121481855481744,-0.013808382577638039,-0.00414736170919753,-0.0037719397650689173,0.04051697131767909,0.0014822838628995175,-0.00733087539260189,0.002569171419597418,-0.01034625202869311,0.01780124784794374,0.004265963376820553,-0.004186343876219754,-0.002087688374049749,0.07821901188167887,-0.02197293369302685,-0.024319110377597736,0.000941258776687952,0.1196791424838377,0.0012086767783559605,-0.10717486580319217,-0.01579703548753819,0.008572061195114798,-0.09632360625754927,-0.005327003377618499,0.06588668779409801,0.016872760930383132,0.23609580432796703,-0.057838463057789974,-0.06158530527407705,-0.03352548450328513,-0.02173765027345593,0.013551531814039309,-0.04111740715692645,0.0295023623391311,-0.035298691468954084,-0.005935915597943361,0.12053220570459362,-0.04138420812224451,-0.02542384606286289,-0.07130330906435656,-0.040409015304259735,0.003599276696978965,-0.002054405083119662,-0.009236537172918445,-0.06215348643806583,-0.014163987798423957,0.060818901781991126,-0.1049711948312971,0.1049711948312971,-0.0006070478747909494,0.007075819150202451,-0.007164384669597816,0.002093333725892264,0.005648636460198352,-0.008863694861501176,-0.0015769161147710837,-0.011683098391908467,0.004686839959731306,-6.18988232690183e-05,-0.0014687890468907095,0.011845226610643756,-0.00772227468601371,-0.005704156766646425,-0.0014234968829005298,-0.0023148589643262186,-0.007534687183616032,0.01794652248400217,-0.0018764259755367078,0.018818747072241165,-6.189882327086378e-05,0.009516952377150665,-0.007771916124319772,0.0009522199748486001,-0.006524725229927933,-0.016416878896987373,-0.002520464280473097,-0.0030620001401051333,-0.004495332665078017,-0.01593218975380476,-0.0033932453823943575,-0.002595596144558164,-0.012445458438793579,0.0012181276875200134,0.03297786350376613,-0.008275232823417933,0.0017819696687342104,-0.003933746734930347,0.012424682188639992,6.122153214275947e-05,0.007319056628085345,0.021828153646261887
