age,capital-gain,capital-loss,education-num,education_level,hours-per-week,income,marital-status,native-country,occupation,race,relationship,sex,workclass
0,41432,43082,0,0,0,0,0,0,0,0,0,0,0
0,0,0,72,0,12,0,0,0,0,0,0,0,0
0,0,0,222,0,24,0,0,0,0,0,0,0,0
0,0,0,449,0,35,0,0,0,0,0,0,0,0
0,0,0,823,0,47,0,0,0,0,0,0,0,0
0,0,0,676,0,60,0,0,0,0,0,0,0,0
0,0,0,1223,0,59,0,0,0,0,0,0,0,0
0,0,0,1619,0,32,0,0,0,0,0,0,0,0
0,0,0,577,0,152,0,0,0,0,0,0,0,0
0,0,0,14783,0,24,0,0,0,0,0,0,0,0
0,0,0,9899,0,332,0,0,0,0,0,0,0,0
0,0,0,1959,0,16,0,0,0,0,0,0,0,0
0,0,0,1507,0,201,0,0,0,0,0,0,0,0
0,0,0,7570,0,22,0,0,0,0,0,0,0,0
0,0,0,2514,0,41,0,0,0,0,0,0,0,0
0,0,0,785,0,519,0,0,0,0,0,0,0,0
0,0,0,544,0,253,0,0,0,0,0,0,0,0
493,0,0,0,0,40,0,0,0,0,0,0,0,0
695,0,0,0,0,112,0,0,0,0,0,0,0,0
864,0,0,0,0,19,0,0,0,0,0,0,0,0
916,0,0,0,0,1602,0,0,0,0,0,0,0,0
935,0,0,0,0,41,0,0,0,0,0,0,0,0
1034,0,0,0,0,56,0,0,0,0,0,0,0,0
1241,0,0,0,0,34,0,0,0,0,0,0,0,0
1130,0,0,0,0,304,0,0,0,0,0,0,0,0
1133,0,0,0,0,820,0,0,0,0,0,0,0,0
1092,0,0,0,0,37,0,0,0,0,0,0,0,0
1157,0,0,0,0,39,0,0,0,0,0,0,0,0
1198,0,0,0,0,123,0,0,0,0,0,0,0,0
1157,0,0,0,0,12,0,0,0,0,0,0,0,0
1215,0,0,0,0,1467,0,0,0,0,0,0,0,0
1274,0,0,0,0,12,0,0,0,0,0,0,0,0
1196,0,0,0,0,371,0,0,0,0,0,0,0,0
1279,0,0,0,0,59,0,0,0,0,0,0,0,0
1234,0,0,0,0,47,0,0,0,0,0,0,0,0
1272,0,0,0,0,1776,0,0,0,0,0,0,0,0
1283,0,0,0,0,308,0,0,0,0,0,0,0,0
1229,0,0,0,0,236,0,0,0,0,0,0,0,0
1211,0,0,0,0,681,0,0,0,0,0,0,0,0
1169,0,0,0,0,62,0,0,0,0,0,0,0,0
1144,0,0,0,0,21358,0,0,0,0,0,0,0,0
1174,0,0,0,0,56,0,0,0,0,0,0,0,0
1113,0,0,0,0,326,0,0,0,0,0,0,0,0
1065,0,0,0,0,219,0,0,0,0,0,0,0,0
1035,0,0,0,0,301,0,0,0,0,0,0,0,0
1049,0,0,0,0,2602,0,0,0,0,0,0,0,0
1062,0,0,0,0,127,0,0,0,0,0,0,0,0
1038,0,0,0,0,82,0,0,0,0,0,0,0,0
815,0,0,0,0,733,0,0,0,0,0,0,0,0
810,0,0,0,0,36,0,0,0,0,0,0,0,0
829,0,0,0,0,4094,0,0,0,0,0,0,0,0
835,0,0,0,0,20,0,0,0,0,0,0,0,0
700,0,0,0,0,200,0,0,0,0,0,0,0,0
689,0,0,0,0,34,0,0,0,0,0,0,0,0
584,0,0,0,0,58,0,0,0,0,0,0,0,0
574,0,0,0,0,1020,0,0,0,0,0,0,0,0
534,0,0,0,0,133,0,0,0,0,0,0,0,0
514,0,0,0,0,19,0,0,0,0,0,0,0,0
517,0,0,0,0,37,0,0,0,0,0,0,0,0
488,0,0,0,0,6,0,0,0,0,0,0,0,0
398,0,0,0,0,2085,0,0,0,0,0,0,0,0
394,0,0,0,0,4,0,0,0,0,0,0,0,0
328,0,0,0,0,23,0,0,0,0,0,0,0,0
280,0,0,0,0,14,0,0,0,0,0,0,0,0
285,0,0,0,0,21,0,0,0,0,0,0,0,0
217,0,0,0,0,349,0,0,0,0,0,0,0,0
180,0,0,0,0,22,0,0,0,0,0,0,0,0
180,0,0,0,0,6,0,0,0,0,0,0,0,0
136,0,0,0,0,16,0,0,0,0,0,0,0,0
116,0,0,0,0,1,0,0,0,0,0,0,0,0
96,0,0,0,0,418,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0
83,0,0,0,0,97,0,0,0,0,0,0,0,0
82,0,0,0,0,3,0,0,0,0,0,0,0,0
59,0,0,0,0,3,0,0,0,0,0,0,0,0
53,0,0,0,0,100,0,0,0,0,0,0,0,0
